gandersson@red:~/ufrgs/avaliacao_desempenho/bench_rfc2544 
[27/11/2014 - 18:22:04]$ bin/receiver 5002
#bytes,Bps,pps
18,18,1
18,288,16
18,4608,256
18,73728,4096
18,360288,20016
18,73728,4096
18,226044,12558
18,73728,4096
18,162666,9037
18,73728,4096
18,132030,7335
18,73728,4096
82,82,1
82,1312,16
82,20992,256
82,335872,4096
82,1016144,12392
82,335790,4095
82,41984,512
82,167936,2048
82,368918,4499
82,167936,2048
82,335872,4096
82,364736,4448
82,335872,4096
210,210,1
210,3360,16
210,53760,256
210,860160,4096
210,813330,3873
210,860160,4096
210,280140,1334
210,860160,4096
210,614670,2927
210,858060,4086
210,430080,2048
466,466,1
466,7456,16
466,119296,256
466,1435280,3080
466,119296,256
466,953902,2047
466,119296,256
466,477184,1024
466,1422698,3053
466,477184,1024
466,954368,2048
466,1422698,3053
466,954368,2048
978,978,1
978,15648,16
978,250368,256
978,1567734,1603
978,250368,256
978,1403430,1435
978,250368,256
978,1001472,1024
978,1551108,1586
978,1001472,1024
978,1418100,1450
978,1001472,1024
1234,1024,1
1234,0,0
1234,0,0
1234,4096,4
1234,0,0
1234,2048,2
1234,0,0
1234,1024,1
1234,0,0
1472,1024,1
1472,0,0
1472,0,0
1472,4096,4
1472,0,0
1472,2048,2
1472,0,0
1472,1024,1
1472,0,0

